author,title,year,conference
Patrick Dallaire_Philippe Giguère_Brahim Chaib-draa,Learning the Structure of Probabilistic Graphical Models with an Extended Cascading Indian Buffet Process.,2014,AAAI
Fanhua Shang_Yuanyuan Liu_James Cheng,Scalable Algorithms for Tractable Schatten Quasi-Norm Minimization.,2016,AAAI
Vernon Asuncion_Yan Zhang_Heng Zhang,Polynomially Bounded Logic Programs with Function Symbols: A New Decidable.,2017,AAAI
I-Hong Jhuo_D. T. Lee,Multiple-Instance Learning: Multiple Feature Selection on Instance Representation.,2011,AAAI
Daniel Bryce_Renée C. Bryce,Covering Landmark Interactions for Semantically Diverse Plans.,2013,AAAI
Shengjia Zhao_Sorathan Chaturapruek_Ashish Sabharwal_Stefano Ermon,Closing the Gap Between Short and Long XORs for Model Counting.,2016,AAAI
Ariel Rosenfeld_Amos Azaria_Sarit Kraus_Claudia V. Goldman_Omer Tsimhoni,Adaptive Advice in Automobile Climate Control Systems.,2015,AAAI
Ioannis A. Vetsikas_Nicholas R. Jennings,Bidding Strategies for Realistic Multi-Unit Sealed-Bid Auctions.,2008,AAAI
Conor McGann_Frederic Py_Kanna Rajan_John P. Ryan 0001_Richard Henthorn,Adaptive Control for Autonomous Underwater Vehicles.,2008,AAAI
Wenxuan Xie_Yuxin Peng_Jianguo Xiao,Semantic Graph Construction for Weakly-Supervised Image Parsing.,2014,AAAI
Long Tran-Thanh_Archie C. Chapman_Enrique Munoz de Cote_Alex Rogers_Nicholas R. Jennings,Epsilon-First Policies for Budget-Limited Multi-Armed Bandits.,2010,AAAI
Matthias Hein 0001_Markus Maier,Manifold Denoising as Preprocessing for Finding Natural Representations of Data.,2007,AAAI
Samuel Barrett_Peter Stone_Sarit Kraus_Avi Rosenfeld,Teamwork with Limited Knowledge of Teammates.,2013,AAAI
Robert Selkowitz_Debra T. Burhans,Shallow Blue: Lego-Based Embodied AI as a Platform for Cross-Curricular Project Based Learning.,2014,AAAI
Sam Dietrich_Kyle Lund_James C. Boerkoel,Robust Execution Strategies for Probabilistic Temporal Planning.,2016,AAAI
Gregor H. W. Gebhardt_Andras Gabor Kupcsik_Gerhard Neumann,The Kernel Kalman Rule - Efficient Nonparametric Inference with Recursive Least Squares.,2017,AAAI
Kang Zhao_Hongtao Lu_Jincheng Mei,Locality Preserving Hashing.,2014,AAAI
Shaosheng Cao_Wei Lu,Improving Word Embeddings with Convolutional Feature Learning and Subword Information.,2017,AAAI
Zhengxiang Pan_Han Yu_Chunyan Miao_Cyril Leung,Crowdsensing Air Quality with Camera-Enabled Mobile Devices.,2017,AAAI
Nir Pochter_Aviv Zohar_Jeffrey S. Rosenschein_Ariel Felner,Search Space Reduction Using Swamp Hierarchies.,2010,AAAI
