author,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,total
Yifan Zhang 0001,0,0,0,0,0,0,1,0,1,1,0,3
Wenqi Ren,0,0,0,0,0,0,0,0,0,1,1,2
Deqing Sun,0,0,0,2,1,1,1,1,1,2,1,10
Matthew Evans Klenk,0,0,0,0,0,0,1,1,0,0,0,2
Guang Cheng,0,0,0,0,0,0,0,0,1,0,0,1
Lucas Agussurja,0,1,0,0,0,0,1,0,0,1,0,3
Jie Ma,0,0,0,0,1,0,0,0,0,0,0,1
Joseph Malionek,0,0,0,0,0,0,1,0,0,0,0,1
Maria Lupetini,0,0,0,0,0,0,0,0,0,1,0,1
Willy Lamal,0,0,0,0,0,0,0,0,1,0,0,1
Mohamed Hefeeda,0,0,0,0,0,0,0,0,1,0,0,1
Martin Graciarena,0,0,0,0,0,0,0,0,0,0,1,1
Angèle M. Hamel,0,1,0,0,0,0,0,0,0,0,0,1
Hyun-Je Song,0,0,0,0,0,0,0,0,0,0,1,1
Felip Martí Carrillo,0,0,0,0,0,0,0,0,0,1,0,1
Valerie Allie,0,0,0,0,0,0,0,0,0,0,1,1
Dirk Schnieders,0,0,0,1,0,1,0,0,0,1,0,3
Wouter M. Koolen,0,1,0,1,2,1,2,3,4,3,2,19
Jeonghee Kim,0,0,0,0,0,0,0,0,0,3,1,4
Gita Reese Sukthankar,0,0,0,0,0,0,0,0,1,0,0,1
